Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
573.63,4.763488292694092,0.0,0.0,0.0,0.0,-0.027304591611027718
573.662,4.831446170806885,0.0,0.0,0.0,0.0,-0.03694425895810127
573.71,4.797338485717773,0.0,0.0,0.0,0.0,-0.05882709100842476
573.73,4.797338485717773,0.0,0.0,0.0,0.0,-0.05882709100842476
573.762,4.862016201019287,0.0,0.0,0.0,0.0,-0.08549566566944122
573.806,4.8858256340026855,0.0,0.0,0.0,0.0,-0.17293596267700195
573.83,4.8858256340026855,0.0,0.0,0.0,0.0,-0.17293596267700195
573.862,4.924311637878418,0.0,0.0,0.0,0.0,-0.19131696224212646
573.898,4.924311637878418,0.0,0.0,0.0,0.0,-0.19131696224212646
573.93,4.922672748565674,0.0,0.0,0.0,0.0,-0.1096077486872673
573.962,4.922672748565674,0.0,0.0,0.0,0.0,-0.1096077486872673
574.002,4.96670389175415,0.0,0.0,0.0,0.0,-0.11436114460229874
574.03,4.8278422355651855,0.0,0.0,0.0,0.0,-0.147843137383461
574.062,4.8278422355651855,0.0,0.0,0.0,0.0,-0.147843137383461
574.106,4.280324935913086,0.0,0.0,0.0,0.0,-0.1155158281326294
574.13,4.341338634490967,0.0,0.0,0.0,0.0,-0.12541839480400085
574.162,4.341338634490967,0.0,0.0,0.0,0.0,-0.12541839480400085
574.21,4.341338634490967,0.0,0.0,0.0,0.0,-0.12541839480400085
574.23,4.861011028289795,0.0,0.0,0.0,0.0,-0.07050471752882004
574.262,4.861011028289795,0.0,0.0,0.0,0.0,-0.07050471752882004
574.306,4.861011028289795,0.0,0.0,0.0,0.0,-0.07050471752882004
574.33,4.71533727645874,0.0,0.0,0.0,0.0,-0.11596798896789551
574.362,4.71533727645874,0.0,0.0,0.0,0.0,-0.11596798896789551
574.402,4.71533727645874,0.0,0.0,0.0,0.0,-0.11596798896789551
574.43,4.530247211456299,0.0,0.0,0.0,0.0,-0.12859846651554108
574.462,4.530247211456299,0.0,0.0,0.0,0.0,-0.12859846651554108
574.506,4.530247211456299,0.0,0.0,0.0,0.0,-0.12859846651554108
574.53,4.613790988922119,0.0,0.0,0.0,0.0,-0.12929941713809967
574.562,4.613790988922119,0.0,0.0,0.0,0.0,-0.12929941713809967
574.602,4.613790988922119,0.0,0.0,0.0,0.0,-0.12929941713809967
574.63,4.426552772521973,0.0,0.0,0.0,0.0,-0.1513775885105133
574.662,4.426552772521973,0.0,0.0,0.0,0.0,-0.1513775885105133
574.702,4.426552772521973,0.0,0.0,0.0,0.0,-0.1513775885105133
574.73,4.674324035644531,0.0,0.0,0.0,0.0,-0.2547098696231842
574.762,4.674324035644531,0.0,0.0,0.0,0.0,-0.2547098696231842
574.798,4.674324035644531,0.0,0.0,0.0,0.0,-0.2547098696231842
